Iteracao,Temperatura,Custo
0,100000,288
1,100000,288
2,100000,288
3,100000,288
4,100000,288
5,100000,288
6,100000,288
7,100000,288
8,100000,288
9,100000,288
10,100000,288
11,100000,288
12,100000,288
13,100000,288
14,100000,288
15,100000,288
16,100000,288
17,100000,288
18,100000,288
19,100000,288
20,100000,288
21,100000,288
22,100000,288
23,100000,288
24,100000,288
25,100000,288
26,100000,288
27,100000,288
28,100000,288
29,100000,288
30,100000,288
31,100000,288
32,100000,288
33,100000,288
34,100000,288
35,100000,288
36,100000,288
37,100000,288
38,100000,288
39,100000,288
40,100000,288
41,100000,288
42,100000,288
43,100000,288
44,100000,288
45,100000,288
46,100000,288
47,100000,288
48,100000,288
49,100000,288
50,100000,288
51,100000,288
52,100000,288
53,100000,288
54,100000,288
55,100000,288
56,100000,288
57,100000,288
58,100000,288
59,100000,288
60,100000,288
61,100000,288
62,100000,288
63,100000,288
64,100000,288
65,100000,288
66,100000,288
67,100000,288
68,100000,288
69,100000,288
70,100000,288
71,100000,288
72,100000,288
73,100000,288
74,100000,288
75,100000,288
76,100000,288
77,100000,288
78,100000,288
79,100000,288
80,100000,288
81,100000,288
82,100000,288
83,100000,288
84,100000,288
85,100000,288
86,100000,288
87,100000,288
88,100000,288
89,100000,288
90,100000,288
91,100000,288
92,100000,288
93,100000,288
94,100000,288
95,100000,288
96,100000,288
97,100000,288
98,100000,288
99,100000,288
100,100000,288
101,100000,288
102,100000,288
103,100000,288
104,100000,288
105,100000,288
106,100000,288
107,100000,288
108,100000,288
109,100000,288
110,100000,288
111,100000,288
112,100000,288
113,100000,288
114,100000,288
115,100000,288
116,100000,288
117,100000,288
118,100000,288
119,100000,288
120,100000,288
121,100000,288
122,100000,288
123,100000,288
124,100000,288
125,100000,288
126,100000,288
127,100000,288
128,100000,288
129,100000,288
130,100000,288
131,100000,288
132,100000,288
133,100000,288
134,100000,288
135,100000,288
136,100000,288
137,100000,288
138,100000,288
139,100000,288
140,100000,288
141,100000,288
142,100000,288
143,100000,288
144,100000,288
145,100000,288
146,100000,288
147,100000,288
148,100000,288
149,100000,288
150,100000,288
151,100000,288
152,100000,288
153,100000,288
154,100000,288
155,100000,288
156,100000,288
157,100000,288
158,100000,288
159,100000,288
160,100000,288
161,100000,288
162,100000,288
163,100000,288
164,100000,288
165,100000,288
166,100000,288
167,100000,288
168,100000,288
169,100000,288
170,100000,288
171,100000,288
172,100000,288
173,100000,288
174,100000,288
175,100000,288
176,100000,288
177,100000,288
178,100000,288
179,100000,288
180,100000,288
181,100000,288
182,100000,288
183,100000,288
184,100000,288
185,100000,288
186,100000,288
187,100000,288
188,100000,288
189,100000,288
190,100000,288
191,100000,288
192,100000,288
193,100000,288
194,100000,288
195,100000,288
196,100000,288
197,100000,288
198,100000,288
199,100000,288
200,90000,288
201,90000,288
202,90000,288
203,90000,288
204,90000,288
205,90000,288
206,90000,288
207,90000,288
208,90000,288
209,90000,288
210,90000,288
211,90000,288
212,90000,288
213,90000,288
214,90000,288
215,90000,288
216,90000,288
217,90000,288
218,90000,288
219,90000,288
220,90000,288
221,90000,288
222,90000,288
223,90000,288
224,90000,288
225,90000,288
226,90000,288
227,90000,288
228,90000,288
229,90000,288
230,90000,288
231,90000,288
232,90000,288
233,90000,288
234,90000,288
235,90000,288
236,90000,288
237,90000,288
238,90000,288
239,90000,288
240,90000,288
241,90000,288
242,90000,288
243,90000,288
244,90000,288
245,90000,288
246,90000,288
247,90000,288
248,90000,288
249,90000,288
250,90000,288
251,90000,288
252,90000,288
253,90000,288
254,90000,288
255,90000,288
256,90000,288
